word,sessions,clients
ឧស្សាហកម្ម,298,238
ឆន្ទៈ,298,233
សរសើរ,297,205
កម្លាំង,295,213
ប្រាជ្ញា,295,223
ពន្យារ,292,173
អាទិភាព,292,221
លម្អិត,292,176
និន្នាការ,291,223
ភាសា,288,220
ស្ទើរ,287,126
ឧត្តមគតិ,285,215
ជម្រាប,284,190
បៀវត្ស,283,175
ធនធាន,283,221
កម្ម,282,235
ប្ដូរ,282,175
ឧស្សាហ៍,282,215
រំលឹក,281,163
សារ,281,232
ប្រព័ន្ធ,281,225
ឯករាជ្យ,281,136
ស័ក្ដិសម,281,214
អាសន្ន,280,215
ដោយ,280,205
អរិយធម៌,278,207
ហ្មត់ចត់,278,213
សុខ,278,238
មហិច្ឆតា,278,222
ពហិការ,278,199
ប្រធាន,278,40
តុល្យភាព,277,210
ចំហ,277,167
បរិបទ,277,202
ទុក,276,216
យន្តការ,275,210
ស្រមៃ,275,211
មាតា,274,138
អាគារ,273,190
អត្ថិភាព,272,157
ឧទ្ទិស,272,212
សម្បត្តិ,272,219
កតញ្ញូ,271,206
សម្បទា,271,194
ជៀស,271,169
ជំងឺ,270,212
អលង្ការ,270,219
ទង្វើ,269,188
ដែរ,269,184
ទិន្នន័យ,268,202
ពិព័រណ៍,268,177
ឥណទាន,267,203
បណ្ដា,266,202
រចនាបថ,265,129
ប្រសិទ្ធ,265,162
អក្សរសិល្ប៍,264,206
សតវត្ស,264,212
ទស្សន,263,217
អន្តរាយ,262,213
បុណ្យ,261,181
អីវ៉ាន់,260,184
ព្យាយាម,260,215
ចៀស,259,191
កម្រៃ,258,220
ល្អ,258,193
មីនា,257,202
សន្មត,257,198
បញ្ញា,256,191
សមាហរណកម្ម,255,184
ជនបទ,255,37
សុខភាព,254,209
តួនាទី,253,199
រចនា,253,210
បេតិកភណ្ឌ,253,207
ចំណែក,252,86
សិរី,252,174
តម្លាភាព,250,187
អាណត្តិ,250,152
ព្រឹត្តិការណ៍,250,187
ភាព,249,209
រយៈ,249,139
ចិត,248,166
ញាំ,248,191
អាចម៍,248,174
ប្រយ័ត្ន,247,168
ស្នេហា,246,174
ក្រដាស,246,159
វិវត្ត,246,198
ប្រារព្ធ,246,195
ធនាគារ,245,199
កម្ទេច,245,120
សង្ខារ,244,190
គុណភាព,244,172
ប្ដេជ្ញា,244,178
បញ្ញត្តិ,244,191
វិញ្ញាណ,243,199
បិត,243,194
ត្រលប់,242,146
ខណ្ឌ,242,170
លទ្ធភាព,242,201
ឈ្មោះ,241,177
គ្រ,240,190
បដិសេធ,240,178
សម្រាក,239,185
មាតិកា,239,193
ក្ដ,237,185
បុរាណ,237,175
យូរ,237,159
ពិពិធកម្ម,236,164
ដំណើរការ,236,171
ស៊ី,235,157
បណ្ដាសា,235,69
ទ្រព្យ,234,189
សសរ,234,138
ពាណិជ្ជកម្ម,234,189
គុណសម្បត្តិ,234,173
ប្រសាសន៍,233,176
សង្គ្រាម,232,189
ទូរ,232,189
សម្អាត,231,185
គុណវុឌ្ឍិ,231,173
វិភាគទាន,231,36
វេលា,230,178
ឫទ្ធិ,230,160
វចនានុក្រម,229,180
សប្ដាហ៍,229,168
ឯកោ,229,171
សីល,229,191
ប៊ិក,228,143
កុសល,227,173
សឹក,226,141
ចំណេះ,225,188
បរិវេណ,225,174
សាសនា,225,179
ខ្មាស,224,138
ស្ថានីយ,224,167
សម្ដី,224,155
ជាតិ,224,188
សាធារណៈ,224,182
ឧត្តមភាព,223,176
ស្វាគមន៍,223,166
មង្គល,222,161
ករុណា,222,170
សាមញ្ញ,221,172
មោទកភាព,220,135
សន្ទនា,220,177
ស័ក្ដិ,220,149
និរន្តរ,220,145
ហេដ្ឋារចនាសម្ព័ន្ធ,220,133
អធិបតី,220,109
អញ្ជើញ,219,161
ពង្ស,219,176
អក្ខរាវិរុទ្ធ,218,172
បរិសុទ្ធ,218,184
ពុទ្ធិ,217,165
សុទិដ្ឋិនិយម,217,160
ឆ្លៀត,216,162
សម្ពោធ,216,147
វីរ,216,164
សវនកម្ម,216,144
រៀង,216,153
គ្រួសារ,216,164
កសិកម្ម,216,163
មន្ត្រី,215,182
បាន,215,155
មន្ទីរ,215,114
អនុស្សាវរីយ៍,215,159
ហិង្សា,215,165
តំណ,214,155
ទម្លាប់,214,169
សិល្បៈ,214,150
សុំ,214,173
សង្ក្រាន្ត,213,157
ការពារ,213,178
ភ្លក់,213,149
បិទ,213,153
រាង,213,164
បញ្ជាក់,212,156
មធ្យោបាយ,212,170
នយោបាយ,212,146
សង្សារ,211,154
រៀន,211,150
អតិថិជន,211,147
យុត្តិធម៌,211,169
ភេសជ្ជៈ,210,84
សុខុមាលភាព,210,169
ប្រាតិភោគ,209,48
ធ្នើរ,209,76
អនុលោម,209,168
រូបិយប័ណ្ណ,209,170
សរសេរ,209,160
មាលា,208,74
សម្គាល់,208,150
បុគ្គល,208,178
ដទៃ,207,164
មារយាទ,207,166
បណ្ឌិត,207,156
ចំណុច,207,165
របស់,206,146
តតិយជន,206,142
បដិវត្តន៍,206,127
យោបល់,206,158
ព័ត,206,184
គង្គា,205,154
អធ្រាត្រ,205,71
អនុសាសន៍,205,141
អគតិ,203,168
និយាយ,203,153
ជម្រាបសួរ,202,159
ឧបសម្ព័ន្ធ,202,134
ចំប៉ី,202,22
ធុរៈ,202,152
សទ្ធា,201,163
សៀម,201,135
ឥឡូវ,201,140
ចិញ្ចឹម,200,154
សប់,200,164
អនាម័យ,200,161
កំពុង,200,148
តថភាព,200,165
តស៊ូ,199,157
អាជ្ញាធរ,199,167
វិបត្តិ,199,166
វិវត្តន៍,198,155
រងា,197,132
នាម,197,162
ភូមិសាស្ត្រ,197,147
ហិរញ្ញវត្ថុ,197,155
បទបញ្ញត្តិ,196,153
ធ្វើ,196,161
គណនេយ្យភាព,196,88
អង្គការ,196,141
មូលដ្ឋាន,196,154
អចិន្ត្រៃយ៍,196,143
មិត្ត,196,152
អត្តសញ្ញាណ,195,157
កម្ពស់,195,152
រដ្ឋបាល,195,159
ចេស្ដា,194,130
ចម្រើន,193,170
ធម៌,193,165
កាល,193,156
អប្បបរមា,193,138
រដ្ឋាភិបាល,192,145
វិទ្យាសាស្ត្រ,192,155
វិមជ្ឈការ,192,126
គម្រោង,192,128
គម្លាត,192,88
វង្ស,191,119
វប្ប,191,150
ប្រវត្តិ,191,153
ច្បាស់លាស់,191,64
កសិករ,191,161
ទ្វេ,190,149
ជំនាញ,190,159
អាស្រ័យ,190,162
គណៈកម្មការ,190,136
កោសល,190,12
កេស,190,146
វដ្ដ,189,92
កាលៈទេសៈ,189,140
រចនាសម្ព័ន្ធ,189,130
បរិក្ខារ,189,150
ចោះ,188,48
ច្បាប់,188,161
ដើរ,187,147
និន្ទា,187,143
អត្ថប្រយោជន៍,187,145
ប្រក្រតី,187,110
អ៊ីនធឺណិត,187,126
អត្តសញ្ញាណប័ណ្ណ,186,141
ស្រាន្ត,186,148
វិជ្ជាជីវៈ,186,146
អ៊ី,186,123
សមុទ្រ,186,147
ហហ្មុក,185,134
នាគ,185,151
គាប,185,85
អរគុណ,185,147
សន្និសីទ,185,140
ជីវិត,184,147
ណែនាំ,184,132
ចម្លែក,184,81
ពីរោះ,184,131
ការណ៍,183,149
ប្រពៃ,183,154
អាជីវកម្ម,183,150
ទំនាក់ទំនង,183,132
សកល,183,147
រូបវន្ត,183,151
វត្ត,183,155
សក្ដិ,182,145
និយោជិត,182,128
បទប្បញ្ញត្តិ,182,145
សុវណ្ណ,182,135
ប្រឡោះ,182,120
ហិរញ្ញប្បទាន,182,102
ភ្លក្ស,181,119
ពិចារណា,181,137
ផ្លាក,181,123
ចលាចល,180,97
ត្រ,180,152
ហ្មង,179,124
កិច្ចការ,179,143
ស្ទាវ,179,118
ម្ដាយ,179,128
ស្ដារ,179,126
ជំហរ,179,130
ប៉ះពាល់,179,123
ដុស,178,140
ក្រឡេក,178,118
ស្អាត,178,142
ប្រញាប់,178,132
ខ្ញុំ,178,141
បាតុភូត,178,113
រស់,178,149
សួរ,177,117
សម្លឹង,177,115
និស្សិត,177,135
តំណែង,177,122
បាត,177,139
ចរិយា,177,151
លិច,177,146
ប្រាកដ,176,145
លក្ខ,176,154
អច្ឆរិយ,176,137
ចាក់សោ,176,19
បញ្ជូន,176,118
ជ្រាប,176,125
វិន័យ,175,142
ផលិតផល,175,138
ចោរ,175,118
បញ្ច្រាស,175,87
អានុភាព,175,148
ប៉ុណ្ណឹង,175,116
សុជីវធម៌,174,135
ប្រាស្រ័យ,174,70
មួយ,174,151
តម្កល់,174,142
សាលា,174,115
ស្ថិត,174,94
នាក់,173,141
នីតិវិធី,173,131
ប្រណម,173,100
ចម្បង,173,143
ម្ទេស,173,18
សង្វេគ,173,137
កវី,173,117
យុទ្ធនាការ,173,74
ហ៊ាន,173,104
សោភ័ណ,173,139
គម្រប,173,126
អាជីព,172,139
ហឹរ,172,129
ប្រមាថ,172,126
អាជ្ញាបណ្ណ,172,111
ស័ក្ដិសិទ្ធិ,172,141
អំណាច,172,120
កាលានុវត្តភាព,171,97
ទម្រង់,171,134
ជំហាន,171,149
ទូទាត់,170,142
សម្ភាសន៍,170,131
ទមិឡ,170,133
ប្រទេស,170,142
ពណ៌នា,170,120
គង់វង្ស,169,141
ទឹក,168,144
ក្បែរ,168,93
គំនិត,168,114
ឈ្នានីស,168,127
ផ្ដល់,168,98
រដ្ឋ,168,133
កេណ្ឌ,168,137
ត្រឡប់,168,127
គ្រប់គ្រង,167,139
សរសៃ,167,117
អនុ,167,146
សប្បុរស,167,146
ច្រេះ,167,53
មិន,167,123
រសជាតិ,166,139
គ្នា,166,133
យល់សប្ដិ,166,135
បវរ,166,130
ទស្សនកិច្ច,165,127
ទាមទារ,165,125
ទេសភាព,165,129
ជំនឿ,165,138
អនុស្សរណៈ,165,125
លំហែ,165,116
អង្គារ,165,109
ស្លាក,165,113
ពូកែ,165,86
ប៉ុណ្ណោះ,165,131
ចុយ,164,146
អាការ,164,121
បរិភោគ,164,136
ឧកញ៉ា,164,121
សំដៅ,163,103
ល័ក្ខខ័ណ្ឌ,163,116
វេទិកា,163,123
ស្ល,163,122
បែរ,163,98
ចៃដន្យ,163,130
ប្លែក,163,122
ស្រាវជ្រាវ,162,120
ជួរ,162,105
សាស្ត្រ,161,129
សោភា,161,125
ម៉េច,161,100
ប្រឡាក់,161,95
លេច,160,130
តិរច្ឆាន,160,116
បម្លែង,160,121
ស្មា,160,106
អស្ដង្គត,160,134
លែង,160,93
ដុះ,160,135
អាថ៌កំបាំង,160,124
ពិសោធ,159,91
កម្រ,159,135
វ័យ,159,125
សុខដុម,159,126
អក្ខរកម្ម,159,117
មមាញឹក,159,126
អភិ,159,138
រម្លឹក,159,105
កត្តា,159,132
និរន្តរ៍,158,132
បង្វែរ,158,102
មជ្ឈមណ្ឌល,158,128
បុត្រ,158,132
អនុស្សាវរីយ,158,127
ស្ថាបត្យកម្ម,158,129
ស្វាហាប់,158,35
អតីតកាល,158,138
ថែទាំ,158,97
សេព,158,132
សមត្ថកិច្ច,157,122
ដំបូន្មាន,157,136
បណ្ដើរ,157,127
គំរាម,156,105
សាមី,156,122
ក្ដិត,156,77
វង្វេង,155,134
ម៉ត់ចត់,155,126
ខ្ជាប់ខ្ជួន,155,86
មគ្គុទ្ទេសក៍,155,126
កាលបរិច្ឆេទ,155,93
វិបស្សនា,155,73
កម្ពុជា,155,136
សង្គតិ,153,118
វិនាស,153,118
មេត្រី,153,81
លំហ,153,111
ម៉ត់,153,114
ឈ្លានពាន,152,121
គតិយុត្តិ,152,89
ដុល្លារ,152,129
សារវន្ត,152,88
កាយ,152,74
ចំណេញ,152,117
និយម,152,120
តម្រៀប,151,64
គោលដៅ,151,116
ហិកតា,151,114
ឯកសារ,150,119
ព្រាង,150,99
សម្ពាធ,150,119
ស្រឡះ,150,101
ស័ក,150,108
លោកិយ,150,127
សូម,150,121
ស្នាដៃ,150,123
ប្រឹក្សា,150,132
ប្រជាប្រិយ,150,129
សុទ្ធ,150,103
សូរ,150,107
ចេតិយ,150,114
ស្លាប់,150,120
ចម្រុះ,149,122
ដំបូង,149,84
បូរណភាព,149,123
ពិសិដ្ឋ,149,118
លំអ,149,117
តេស្ត,149,117
អំពើ,148,114
វិសាល,148,127
មាំ,148,106
បង្សុកូល,148,109
ធន់,148,118
លោក,148,130
បាទ,148,116
សាវតារ,148,109
ព័ទ្ធ,147,112
បត់,147,112
ស្ថានភាព,147,123
សុក្រឹត,147,100
បទដ្ឋាន,147,121
ញ៉ាំង,147,115
ពលិកម្ម,147,120
ច្រឡំ,147,104
ប្រជា,147,132
ឫកពា,147,119
សមូហភាព,146,124
មាត់,146,106
សមធម៌,145,115
កុហក,145,119
ហើយ,145,112
នាយិកា,145,99
ពុទ្ធ,145,122
គម្ពីរ,144,115
អភ័ព្វ,144,104
អតីត,144,113
ក្លាហាន,144,120
ទប់,143,36
គាំទ្រ,143,94
ច្នៃ,143,118
លទ្ធកម្ម,143,100
អន្តរជាតិ,143,102
និយោជក,142,113
បរិបូរ,142,113
ទទេ,142,89
មូលនិធិ,142,107
ផែនការ,142,112
វាចា,141,102
កង្ហារ,141,107
ចំណ,141,108
អផ្សុក,141,95
ទសវត្សរ៍,141,103
ប្រការ,140,118
គ្រូ,140,94
អាត្មានិយម,140,113
និស្ស័យ,140,118
សញ្ញា,140,120
គុម្ព,140,115
មាគ៌ា,140,115
បំប្លែង,140,89
វារ,140,116
ទស្សនៈ,139,112
បណ្ដោះអាសន្ន,139,53
សភាព,139,97
ចរាចរ,139,87
លំអិត,139,115
សម្បុរ,139,103
ផ្កា,139,113
គ្រប់,139,107
ប្រតិដ្ឋ,139,64
កៀប,139,95
រុក្ខជាតិ,139,81
ឧបេក្ខា,138,94
ទម្លាក់,138,97
ឧបការី,138,97
ស្ត្រី,138,108
ក្នុង,138,111
បង្គាប់,138,99
ហានិភ័យ,138,116
សម្ផស្ស,138,101
បម្រុង,137,113
ទឡ្ហីករណ៍,137,108
ត្រុដិ,137,110
ពេជ្រ,137,93
អនេក,137,123
ស៊ាំ,137,96
ឆៀង,137,79
ស្ម័គ្រ,137,109
បរិវារ,137,112
ក្ដារ,136,96
ខ្ជិល,136,80
សកម្មភាព,136,97
ឈ្វេងយល់,136,66
គ្រឹះ,136,120
បំណិន,136,96
កិលេស,136,91
វិញ,136,118
អធិបតេយ្យភាព,136,93
ស្វយ័ត,135,84
ប្រសប់,135,99
លំហូរ,135,114
កិត្តិ,135,122
បញ្ញវន្ត,135,97
បញ្ចេញ,135,106
ប្រើ,135,104
សក្ដា,135,98
ផ្ទេរ,134,116
ខ្យល់,134,91
សប្ដស័ក,134,84
ដឹង,134,112
បំណង,134,109
សូត្រ,134,108
ចក្ខុវិស័យ,134,114
គោលការណ៍,134,99
ឈាន,134,64
ដោយសារ,133,92
និមិត្តរូប,133,106
ឫស្សី,133,96
វន្ទា,133,114
ភូមិ,133,115
ជម្នះ,133,104
ចាស,133,102
បញ្ចប់,133,103
បដិវត្ត,133,98
កម្ដៅ,133,96
ទូរទស្សន៍,133,107
ស្មោះសរ,132,63
ប្រវត្តិសាស្ត្រ,132,77
បញ្ចៀស,132,66
សុខដុមរមនា,132,102
បុរស,132,99
ចីវរ,132,114
តារា,131,74
វិនិច្ឆ័យ,131,113
ទេស,131,116
ពលី,131,107
សម្ព័ន្ធ,131,116
សមភាព,131,106
ទុច្ចរិត,131,109
សមិទ្ធ,131,100
និទ្រា,131,111
អព្យាក្រឹត,131,102
ខ្លួន,131,110
មុទិតា,131,100
អន្តរាគមន៍,130,108
ភាវនា,130,95
វិវាទ,130,117
ភាតរភាព,130,85
សន្យា,129,107
សម្ដែង,129,103
ប៉ិន,129,98
លំនៅឋាន,129,97
បច្ច័យ,129,109
លាក់,129,74
ទុំ,129,105
រហ័ស,129,107
ព្រោះ,129,107
សំណួរ,129,101
កួរ,128,102
រូបវន្តបុគ្គល,128,100
គ្រឿង,128,112
ហេតុការណ៍,128,84
វណ្ណ,128,99
ម្ល៉េះ,128,94
សម័យ,128,107
ឪពុក,128,103
ធុរកិច្ច,128,105
ទ្រ,127,111
ជម្លោះ,127,95
បង្អុរ,127,100
សង្ស័យ,127,105
វិស័យ,127,103
គុណនាម,127,91
ប្រសូត,126,99
ឯកា,126,96
វាយ,126,100
រតនៈ,126,90
ឡើង,126,94
វាសនា,126,79
អាសា,125,79
ទាហាន,125,91
តម្រូវ,125,101
គ្រេច,125,33
កេះ,125,104
ពាយ,125,109
កំណាព្យ,125,110
ប្រលែង,125,86
ព្រាន,125,98
ដូរ,124,77
សហគ្រាស,124,77
វិញ្ញាសា,124,84
បដិសណ្ឋារកិច្ច,124,96
របាយការណ៍,124,102
ករណីយកិច្ច,124,108
អាពាហ៍ពិពាហ៍,123,104
រង់,123,97
បង្គា,123,91
ទេវកថា,123,39
ជម្រក,123,103
ដាក់,123,84
សញ្ញាបត្រ,123,95
ជលផល,123,115
ថ្ម,123,78
អាការៈ,123,86
ប្រស្នា,123,100
រម្យទម,123,83
ក្រុម,122,86
ជិត,122,101
ខ្លាំង,122,97
សេវា,122,91
ជូន,122,78
ដូច្នេះ,122,87
ទម្រាំ,122,86
ទេពកោសល្យ,122,103
អំពី,122,82
កោសិកា,122,62
មតិ,122,99
កំលោះ,122,81
ប្រត្យក្ស,121,82
ភ្ជាប់,121,101
ពណ្ណរាយ,121,97
សន្តោស,120,96
សេរី,120,99
ទូន្មាន,120,93
ពន្លឺ,120,100
ទិវា,120,90
អគ្គិភ័យ,120,97
ស្រី,120,98
ទន់ភ្លន់,120,101
បញ្ចូល,120,102
រឹត,120,91
ចម្ងាយ,120,94
ដំណែង,120,78
កិច្ច,120,103
សន្សំ,120,93
មោះមុត,120,102
សំគាល់,120,91
បន្ទោស,119,85
ធានា,119,98
ទារ,119,91
ព្យួរ,119,85
អាស,119,100
សច្ច,119,93
តណ្ហា,119,86
មិច,119,69
ជញ្ជាំង,119,79
មុនី,119,91
ពន្លឿន,118,96
វឹង,118,89
អវសាន,118,103
បរិបូរណ៍,118,89
វង់,118,77
ឧក្រិដ្ឋកម្ម,118,105
អធិបតេយ្យ,118,93
ឋាន,118,103
ភក្ដ្រ,118,84
អាវុធ,118,99
ស្ថាបនា,118,98
កូន,118,106
គុំ,118,98
ប្រាក់,118,89
វឌ្ឍន,118,95
កុំ,118,95
ផ្គូផ្គង,117,88
ភ្ញៀវ,117,91
កំពង់,117,82
សច្ចភាព,117,62
មើល,117,99
សត្វ,117,100
វិស្សមកាល,117,98
ពសុធា,117,89
ព្រហស្បតិ៍,116,74
ទំនាស់,116,90
កសាង,116,90
ប្រឌិត,116,89
ចារ,116,98
សំអាត,116,97
វិចិត្រ,116,101
សមាជិក,116,92
ធម្ម,116,91
សាលារៀន,116,91
ដង្ហែ,116,87
ឆ្កែ,116,83
ជ័យ,115,100
ប្រទក្សិណ,115,98
ប្រព,115,97
បរាជ័យ,115,91
កខ្វក់,115,87
ទេព,115,76
ទន់,114,92
បរិបូណ៌,114,81
ផ្ទះ,114,91
ធូរ,114,85
ពង្រឹង,114,90
អភិបាលកិច្ច,114,79
កើត,114,90
ភ្នែក,114,86
តំបន់,114,97
បញ្ច,113,87
កន្ត្រក,113,80
ពិសោធន៍,113,86
រចនាប័ទ្ម,113,59
រីកចម្រើន,113,92
អធិបតីភាព,113,55
បាត់បង់,113,56
លក្ខន្តិកៈ,113,84
សមត្ថ,113,101
គន្លឹះ,113,89
ប្រជាជន,113,90
អាណាព្យាបាល,112,93
អត្ត,112,98
ឯកតា,112,82
កប៉ាល់,112,82
ស្មោះ,112,75
សតវត្សរ៍,112,95
បរិច្ចាគ,112,93
ជក់,112,76
វេទនា,112,93
បន្លា,112,40
ភ្លើ,112,85
បុព្វ,112,100
ផ្លូវ,112,90
ត្រី,111,82
ក្របខ័ណ្ឌ,111,83
កំណត់,111,95
មុខ,111,93
ពុត,111,85
រតនត្រ័យ,111,80
និរាករណ៍,110,84
កម្មពៀរ,110,31
តម្រង់,110,83
និវត្តន៍,110,89
ចិត្រ,110,89
ទស្សនវិស័យ,110,55
សង្ឃ,110,94
ពលកម្ម,110,96
ក្បាល,110,97
ប្រកប,110,80
កម្ចាត់,110,78
សមតុល្យ,110,80
សិល្ប,110,83
រង្គើ,110,71
គណនេយ្យ,110,91
ធរមាន,109,78
សំណាង,109,80
លាភ,109,86
គិត,109,97
កិត្យានុភាព,109,90
បណ្ដុះ,109,89
បដិបត្តិ,109,83
នីតិបុគ្គល,109,85
អក្ខរា,109,94
សេរីភាព,109,89
សេដ្ឋី,109,88
បណ្ដាល,109,79
រួសរាន់,109,71
ច្រើន,109,89
លំអង,109,24
សតិ,108,89
ពលរដ្ឋ,108,94
ព្យសនកម្ម,108,71
សប្បាយ,108,95
ឋានៈ,108,83
សាកល,108,88
ធុំ,108,54
ប្រហារ,108,67
ឱវាទ,108,77
ទទួល,108,91
វាយនភណ្ឌ,107,93
រត់,107,91
សរុប,107,30
ថាមវន្ត,107,85
ស្និទ្ធស្នាល,107,92
វ៉ៃ,107,84
សេវាកម្ម,107,84
សណ្ឋាន,107,86
គតិ,107,80
អាក្រក់,107,82
សុភ,107,85
ពិធី,107,82
ហេតុ,107,93
សប្ដិ,107,87
បំផ្លាញ,107,83
ចក្រវាល,107,90
អង់អាច,106,90
គុណតម្លៃ,106,77
កំលុង,106,82
អុំទូក,106,20
រថយន្ត,106,82
សង្ហារិម,106,90
មោឃ,106,83
ពិពណ៌នា,106,85
អប្រិយ,106,83
ដដែល,106,80
គយគន់,106,89
ទុយយោ,106,48
គន្ធ,105,40
សង្គ្រោះ,105,94
ចុះ,105,79
ភ្លេច,105,70
សម្ដេច,105,80
រៀប,105,85
រ័ត្ន,105,74
ពោះ,105,78
យុត្តាធិការ,105,86
ពុម្ព,105,82
អង្គ,105,91
សង្ឃឹម,105,85
សំខាន់,105,88
ហត្ថលេខា,105,79
ជោគ,105,86
អតិផរណា,105,85
ប៉ុន,104,82
តន្ត្រី,104,72
កេងប្រវ័ញ្ច,104,85
រូប,104,91
ដល់,104,90
វិធានការ,104,91
សម្រាន្ត,104,79
និវត្ត,104,74
គណៈ,104,87
ដិត,104,71
រស្មី,104,66
វិស្វករ,104,84
ពន្ធ,104,87
ខន្តី,104,84
មុខរបរ,104,80
ចម្រាញ់,104,94
ទាន,104,77
វីដេអូ,104,89
ភៀស,104,86
កញ្ចក់,104,70
ពេញ,103,66
ចំណាយ,103,80
ទន្លេ,103,80
ជម្រើស,103,78
តំណាង,103,84
ថ្ងៃ,103,73
វស្សា,103,84
បន្តិច,103,74
មជ្ឈដ្ឋាន,103,63
ប្រា,103,94
រើសអើង,103,83
អាកាស,103,88
អនុភាព,103,79
ចក្រពត្តិ,103,75
អាយុ,103,81
ប៉ិ,103,79
អាគម,102,56
កៀរគរ,102,73
សាក្សី,102,82
អេឡិចត្រូនិក,102,67
